Date,Suceptible,Confirmed,Recovered
2021-12-02,0.7301937143175181,0.1349361657668847,0.13487011991559722
2021-12-03,0.7301715297855658,0.13494710180376257,0.1348813684106716
2021-12-04,0.730149931112732,0.13495729575242374,0.13489277313484427
2021-12-05,0.7301322772246291,0.13496670855559365,0.13490101421977724
2021-12-06,0.7301179432048642,0.13497424660958446,0.13490781018555134
2021-12-07,0.7301032186123536,0.13498065200261294,0.13491612938503345
2021-12-08,0.7300867364424877,0.13498928366029153,0.13492397989722077
2021-12-09,0.7300672859197549,0.1350010008426607,0.13493171323758443
2021-12-10,0.7300442811850367,0.1350133038841483,0.1349424149308149
2021-12-11,0.7300239714022636,0.135023810291006,0.13495221830673046
2021-12-12,0.7300045599368054,0.13503423858331454,0.13496120147988014
2021-12-13,0.7299869841632516,0.1350431436419151,0.1349698721948333
2021-12-14,0.729969759905169,0.13505150189867177,0.1349787381961593
2021-12-15,0.7299486689769045,0.1350632581383155,0.13498807288478007
2021-12-16,0.7299254298985389,0.13507700629896197,0.13499756380249908
2021-12-17,0.7299007847582891,0.13509180900602166,0.13500740623568916
2021-12-18,0.7298770379353543,0.13510641642670854,0.1350165456379371
2021-12-19,0.729853603570616,0.1351212581910428,0.13502513823834117
2021-12-20,0.7298320830123314,0.13513371746162867,0.13503419952603998
2021-12-21,0.7298074769293561,0.1351485982832375,0.13504392478740637
2021-12-22,0.7297778324579621,0.13516734577502815,0.1350548217670097
2021-12-23,0.7297460398364672,0.13518941313515673,0.1350645470283761
2021-12-24,0.7297120209503221,0.13521296467171873,0.13507501437795918
2021-12-25,0.7296788613242173,0.13523616469280966,0.13508497398297298
2021-12-26,0.7296444518653266,0.13525991151574449,0.1350956366189289
2021-12-27,0.7296119562128894,0.13527865900753513,0.13510938477957538
2021-12-28,0.7295743050002099,0.13530057013856545,0.13512512486122463
2021-12-29,0.729527201927086,0.13533158161456915,0.13514121645834493
2021-12-30,0.7294743183773265,0.1353698577436417,0.1351558238790318
2021-12-31,0.729422333144882,0.135407352727223,0.13517031412789499
2022-01-01,0.7293718711461454,0.13544492582535345,0.13518320302850106
2022-01-02,0.7293169566181087,0.1354848423599577,0.13519820102193358
2022-01-03,0.7292520824850581,0.135534249812281,0.13521366770266088
2022-01-04,0.729158696541576,0.1356136141941947,0.1352276892642293
2022-01-05,0.7289941482438385,0.13575933688559247,0.13524651487056907
2022-01-06,0.7287102799723084,0.13601996607875705,0.13526975394893456
2022-01-07,0.7282785408592796,0.1364188189666031,0.13530264017411733
2022-01-08,0.7277058830996244,0.13696105110937307,0.13533306579100257
2022-01-09,0.7270328872016146,0.1375887796261633,0.1353783331722221
2022-01-10,0.726402151274683,0.13815682862741996,0.13544102009789705
2022-01-11,0.7258187918217973,0.13867429845811644,0.13550690972008628
2022-01-12,0.7249865203581162,0.1394171678203209,0.13559631182156293
2022-01-13,0.7236718524962968,0.14059622882485448,0.13573191867884862
2022-01-14,0.7219128300217647,0.14212778173232682,0.1359593882459085
2022-01-15,0.7199176672652194,0.1438459112403907,0.13623642149438991
2022-01-16,0.7175164260250337,0.14578022276316546,0.13670335121180077
2022-01-17,0.7149422391730794,0.14774288986727363,0.137314870959647
2022-01-18,0.7122881801946419,0.14982343182601546,0.1378883879793426
2022-01-19,0.7089453071219963,0.15254556763401772,0.13850912524398593
2022-01-20,0.7049493964186432,0.15584219689357967,0.13920840668777712
2022-01-21,0.7003862569167992,0.1595220951884367,0.14009164789476408
2022-01-22,0.6952280407797004,0.1635722173888845,0.14119974183141512
2022-01-23,0.6899506218406326,0.16757797052542775,0.1424714076339396
2022-01-24,0.6845709118994822,0.17131333015016545,0.14411575795035234
2022-01-25,0.6783818961720942,0.1755363589051074,0.1460817449227984
2022-01-26,0.6712053172573591,0.18063969957144405,0.14815498317119682
2022-01-27,0.6634439728278541,0.1862497693179721,0.1503062578541738
2022-01-28,0.6547625561814484,0.19230446707813506,0.15293297674041656
2022-01-29,0.6450804140461677,0.19867615367865823,0.15624343227517412
2022-01-30,0.6351996266124552,0.20520621752753782,0.159594155860007
2022-01-31,0.6258770848040839,0.2109177190161082,0.16320519617980797
2022-02-01,0.6164523691654534,0.21644112067037907,0.1671065101641675
2022-02-02,0.605794185738822,0.22322107296191818,0.17098474129925978
2022-02-03,0.594153243169615,0.23089364020633957,0.17495311662404542
2022-02-04,0.5817892723336819,0.23860655361538544,0.17960417405093265
2022-02-05,0.568530499337491,0.24642808530499338,0.18504141535751564
2022-02-06,0.5554511164033719,0.25418860953173256,0.1903602740648956
2022-02-07,0.5435095890491214,0.26061677295127506,0.19587363799960356
2022-02-08,0.5311034754139339,0.26716523277647425,0.20173129180959187
2022-02-09,0.5177022605374085,0.2747377743407376,0.20755996512185382
2022-02-10,0.5040111625690703,0.2824722864226173,0.21351655100831238
2022-02-11,0.48960855823000243,0.2902167971667853,0.22017464460321226
2022-02-12,0.47661248446252796,0.29668792358834806,0.226699591949124
2022-02-13,0.46437021609413587,0.3024578938169405,0.23317189008892364
2022-02-14,0.4517716282098977,0.3080748376437918,0.2401535341463105
2022-02-15,0.4395790406947508,0.3136794393718809,0.2467415199333683
2022-02-16,0.42655152582125244,0.320335189530307,0.2531132846484406
2022-02-17,0.41251805178408746,0.3276039436130127,0.2598780046028998
2022-02-18,0.3975047088426646,0.33496807556020336,0.26752721559713205
2022-02-19,0.38346662604710113,0.3416119913644366,0.27492138258846227
2022-02-20,0.3714440157908561,0.34747034820536704,0.28108563600377684
2022-02-21,0.360211338912665,0.35249983156550346,0.28728882952183155
